"lsoa11cd","CAUTH18NM","lsoa11nm","IMD.2010.adjusted","National.quintile1","National.decile2","imd_rank","GOR.CODE","GOR.NAME","IMD.SCORE","RANK.OF.IMD.SCORE..where.1.is.most.deprived.","INCOME.SCORE","RANK.OF.INCOME.SCORE..where.1.is.most.deprived.","EMPLOYMENT.SCORE","RANK.OF.EMPLOYMENT.SCORE..where.1.is.most.deprived.","HEALTH.DEPRIVATION.AND.DISABILITY.SCORE","RANK.OF.HEALTH.DEPRIVATION.AND.DISABILITY.SCORE..where.1.is.most.deprived.","EDUCATION.SKILLS.AND.TRAINING.SCORE","RANK.OF.EDUCATION.SKILLS.AND.TRAINING.SCORE..where.1.is.most.deprived.","BARRIERS.TO.HOUSING.AND.SERVICES.SCORE","RANK.OF.BARRIERS.TO.HOUSING.AND.SERVICES.SCORE..where.1.is.most.deprived.","CRIME.AND.DISORDER.SCORE","RANK.OF.CRIME.SCORE..where.1.is.most.deprived.","LIVING.ENVIRONMENT.SCORE","RANK.OF.LIVING.ENVIRONMENT.SCORE..where.1.is.most.deprived.","Indoors.Sub.domain.Score","Indoors.Sub.domain.Rank..where.1.is.most.deprived.","Outdoors.Sub.domain.Score","Outdoors.Sub.domain.Rank..where.1.is.most.deprived.","Geographical.Barriers.Sub.domain.Score","Geographical.Barriers.Sub.domain.Rank..where.1.is.most.deprived.","Wider.Barriers.Sub.domain.Score","Wider.Barriers.Sub.domain.Rank..where.1.is.most.deprived.","Children.Young.People.Sub.domain.Score","Children.Young.People.Sub.domain.Rank..where.1.is.most.deprived.","Skills.Sub.domain.Score","Skills.Sub.domain.Rank..where.1.is.most.deprived.","IDACI.score","Rank.of.IDACI..where.1.is.most.deprived.","IDAOPI.score","Rank.of.IDAOPI..where.1.is.most.deprived."
"E01006213","Greater Manchester","Wigan 024A",53.88,1,1,1552,"B","North West",53.88,1559,0.36,1952,0.25,1084,1.14,3165,60.08,1792,15.44,21833,1.41,1256,20.85,13276,18.75,14141,25.04,10652,20,13366,10.88,20082,64.43,1574,55.73,2493,0.5,2124,0.38,3983
"E01006214","Greater Manchester","Wigan 026B",36.73,1,2,5650,"B","North West",36.73,5603,0.23,6959,0.19,3448,0.84,5566,42.27,4718,11.78,25948,0.63,7434,35.32,6491,38.11,5852,29.75,8604,12.97,18299,10.59,20336,38.97,5622,45.57,4112,0.29,8756,0.26,9381
"E01006215","Greater Manchester","Wigan 024B",52.95,1,1,1692,"B","North West",52.95,1696,0.35,2212,0.29,539,1.52,1389,59.22,1895,11.71,26034,0.23,12927,21.95,12588,17.17,15177,31.51,7938,12.43,18746,10.98,19989,61.71,1825,56.73,2369,0.43,3753,0.4,3199
"E01006216","Greater Manchester","Wigan 026C",20.75,3,5,13575,"B","North West",20.75,13438,0.13,13781,0.13,8111,0.08,14775,34.25,6869,18.45,18233,-0.99,28590,11.2,21574,12.26,18885,9.08,21747,26.45,9995,10.45,20466,28.23,9221,40.27,5289,0.17,14863,0.22,11876
"E01006217","Greater Manchester","Wigan 024C",32.87,2,3,7041,"B","North West",32.87,6979,0.22,7635,0.19,3646,0.51,8989,43.8,4371,20.03,16468,0.35,11199,14.98,17862,13.26,18063,18.41,14358,29.81,8578,10.25,20650,37.45,6034,50.15,3293,0.24,10836,0.33,5845
"E01006218","Greater Manchester","Wigan 024D",39.09,1,2,4872,"B","North West",39.09,4842,0.26,5498,0.2,2917,1.18,2901,41.75,4861,9.17,28508,0.77,5772,19.55,14171,23.87,11234,10.92,20048,7.41,23421,10.93,20037,28.04,9298,55.46,2527,0.32,7431,0.25,9866
"E01006219","Greater Manchester","Wigan 024E",21.64,2,4,12916,"B","North West",21.64,12785,0.11,16580,0.15,6141,0.39,10510,27.36,9465,9.54,28152,-0.78,26651,22.13,12465,17.59,14892,31.2,8051,8.97,21855,10.11,20782,17.98,14633,36.74,6237,0.14,16906,0.16,17030
"E01006220","Greater Manchester","Wigan 035A",32.69,2,3,7114,"B","North West",32.69,7052,0.23,6854,0.17,4465,0.7,6874,38.94,5565,25.34,11090,0.24,12902,11.31,21454,10.42,20494,13.1,18192,38.14,5843,12.53,18661,32.12,7719,45.76,4075,0.28,8842,0.33,5725
"E01006221","Greater Manchester","Wigan 035B",15.88,3,6,17638,"B","North West",15.88,17452,0.1,18247,0.11,11212,0.02,15711,12.35,19407,14.45,22954,0.11,14673,16.16,16835,13.12,18175,22.24,12087,21.41,12548,7.48,23345,5.27,25749,19.44,13706,0.09,22783,0.17,16668
"E01006222","Greater Manchester","Wigan 035C",12.31,4,7,21362,"B","North West",12.31,21152,0.06,25425,0.08,16574,0.08,14771,9.36,22218,21.23,15179,0.31,11651,6.07,27572,1,31081,16.21,15839,35.55,6589,6.91,23947,8.14,22679,10.59,20338,0.03,30272,0.14,19718
"E01006223","Greater Manchester","Wigan 036A",21.66,2,4,12899,"B","North West",21.66,12768,0.12,15300,0.12,9755,0.36,10880,18.62,14333,6.36,30660,0.68,6858,28.24,9275,22.35,12029,40.01,5353,2.95,28527,9.77,21091,16.31,15767,20.93,12819,0.17,14887,0.19,14557
"E01006224","Greater Manchester","Wigan 035D",7.92,5,9,26975,"B","North West",7.92,26701,0.04,28694,0.06,23058,-0.34,20800,8.47,23122,19.22,17336,0.16,13993,2.04,31700,0.77,31405,4.59,26532,31.25,8031,7.2,23643,6.37,24523,10.56,20366,0.05,27908,0.14,19271
